Municípios,Estimativas Populacionais - DEE\Total\2021,Idese\2021,PIB\Total\2021 (R$ mil),PIB\Impostos\2021 (R$ mil),PIB\Indústria\2021 (R$ mil),PIB\Agropecuária\2021 (R$ mil),PIB\Serviços\Total\2021,PIB per capita\2021 (R$),COREDE,Fronteira Argentina,Fronteira Uruguai,Fronteira Santa Catarina,Litorâneo
Fagundes Varela,2.710,"0,8347","197.918,35","16.072,95","68.805,54","62.112,53","50.927,33","71.970,31",Serra,Não,Não,Não,Não
Farroupilha,72.410,"0,8174","4.398.447,41","806.961,54","1.454.549,51","197.883,67","1.939.052,70","59.633,50",Serra,Não,Não,Não,Não
Faxinal do Soturno,7.066,"0,7416","270.104,54","28.749,08","31.044,69","39.560,12","170.750,65","40.611,12",Central,Não,Não,Não,Não
Faxinalzinho,2.578,"0,7305","103.165,59","3.609,24","4.169,45","59.134,02","36.252,89","45.729,43",Norte,Não,Não,Não,Não
Fazenda Vilanova,4.570,"0,6792","140.822,35","11.489,73","14.591,66","40.274,02","74.466,95","30.090,25",Vale do Taquari,Não,Não,Não,Não
Feliz,14.501,"0,7841","589.352,25","75.962,58","142.280,35","22.681,78","348.427,54","42.930,67",Vale do Caí,Não,Não,Não,Não
Flores da Cunha,32.121,"0,8263","2.538.135,67","508.223,91","1.041.599,16","132.842,14","855.470,46","80.956,10",Serra,Não,Não,Não,Não
Floriano Peixoto,1.759,"0,7514","103.058,24","4.440,92","3.993,74","60.221,29","34.402,29","60.303,24",Norte,Não,Não,Não,Não
Fontoura Xavier,10.093,"0,6928","227.468,08","14.823,10","9.637,90","66.320,56","136.686,52","22.342,41",Alto da Serra do Botucaraí,Não,Não,Não,Não
Formigueiro,7.269,"0,7324","302.798,81","18.419,15","24.975,98","143.621,79","115.781,89","46.095,12",Central,Não,Não,Não,Não
Forquetinha,2.562,"0,7334","58.939,11","2.235,36","4.023,11","25.692,70","26.987,94","24.671,04",Vale do Taquari,Não,Não,Não,Não
Fortaleza dos Valos,4.645,"0,8616","564.770,92","34.860,12","14.527,47","326.662,85","188.720,48","132.824,77",Alto Jacuí,Não,Não,Não,Não
